year_num,month_num,month_name,service_name,total_requests,compliant_count,sla_compliance_pct
2024,1,January,Academic Certificate Request,3,3,100.0
2024,1,January,Building Permit Application,5,3,60.0
2024,1,January,Business Grant Application,3,3,100.0
2024,1,January,Driving License Renewal,2,1,50.0
2024,1,January,Health Card Registration,5,4,80.0
2024,1,January,Labour Complaint Filing,2,2,100.0
2024,1,January,Medical Appointment Booking,4,4,100.0
2024,1,January,Passport Application,1,0,0.0
2024,1,January,Public Housing Maintenance,3,2,66.67
2024,1,January,School Enrollment,2,1,50.0
2024,1,January,Tax Filing Assistance,4,4,100.0
2024,1,January,Traffic Fine Dispute,2,2,100.0
2024,1,January,Vehicle Registration,1,1,100.0
2024,1,January,Visa Application,3,3,100.0
2024,1,January,Waste Collection Request,1,1,100.0
2024,2,February,Academic Certificate Request,2,1,50.0
2024,2,February,Building Permit Application,5,5,100.0
2024,2,February,Business Grant Application,2,2,100.0
2024,2,February,Driving License Renewal,3,2,66.67
2024,2,February,Health Card Registration,3,3,100.0
2024,2,February,Medical Appointment Booking,2,2,100.0
2024,2,February,Medical Certificate Request,3,1,33.33
2024,2,February,Passport Application,3,2,66.67
2024,2,February,Public Housing Maintenance,6,5,83.33
2024,2,February,School Enrollment,4,3,75.0
2024,2,February,Tax Filing Assistance,3,2,66.67
2024,2,February,Traffic Fine Dispute,1,1,100.0
2024,2,February,Vehicle Registration,1,1,100.0
2024,2,February,Visa Application,2,1,50.0
2024,2,February,Waste Collection Request,2,1,50.0
2024,3,March,Academic Certificate Request,2,2,100.0
2024,3,March,Building Permit Application,2,1,50.0
2024,3,March,Business Grant Application,4,3,75.0
2024,3,March,Driving License Renewal,4,4,100.0
2024,3,March,Health Card Registration,4,4,100.0
2024,3,March,Labour Complaint Filing,5,5,100.0
2024,3,March,Medical Appointment Booking,2,2,100.0
2024,3,March,Medical Certificate Request,6,4,66.67
2024,3,March,Passport Application,7,6,85.71
2024,3,March,Public Housing Maintenance,4,4,100.0
2024,3,March,School Enrollment,1,1,100.0
2024,3,March,Tax Filing Assistance,2,2,100.0
2024,3,March,Traffic Fine Dispute,2,2,100.0
2024,3,March,Vehicle Registration,6,5,83.33
2024,3,March,Visa Application,3,2,66.67
2024,3,March,Waste Collection Request,2,2,100.0
2024,4,April,Academic Certificate Request,1,0,0.0
2024,4,April,Building Permit Application,4,4,100.0
2024,4,April,Business Grant Application,3,2,66.67
2024,4,April,Driving License Renewal,4,4,100.0
2024,4,April,Health Card Registration,2,1,50.0
2024,4,April,Labour Complaint Filing,3,2,66.67
2024,4,April,Medical Appointment Booking,3,0,0.0
