department_name,service_name,total_requests,avg_satisfaction,avg_ease_of_use,avg_response_speed,sla_compliance_pct,satisfaction_band
Ministry of Housing,Public Housing Maintenance,62,3.96,3.51,3.41,79.03,Medium
Ministry of Transport,Driving License Renewal,53,3.93,3.72,3.27,83.02,Medium
Ministry of Finance,Business Grant Application,42,3.92,3.63,3.67,80.95,Medium
Ministry of Finance,Tax Filing Assistance,49,3.91,3.71,3.22,79.59,Medium
Ministry of Health,Health Card Registration,46,3.91,3.84,3.62,84.78,Medium
Ministry of Transport,Traffic Fine Dispute,44,3.86,3.86,3.51,84.09,Medium
Ministry of Interior,Passport Application,46,3.84,3.86,3.47,76.09,Medium
Ministry of Environment,Waste Collection Request,46,3.84,3.68,3.38,76.09,Medium
Ministry of Health,Medical Appointment Booking,52,3.82,3.85,3.52,80.77,Medium
Ministry of Housing,Building Permit Application,75,3.78,3.77,3.57,77.33,Medium
Ministry of Labour,Labour Complaint Filing,65,3.76,3.72,3.48,75.38,Medium
Ministry of Education,Academic Certificate Request,58,3.66,3.52,3.54,70.69,Medium
Ministry of Interior,Visa Application,55,3.61,3.85,3.41,69.09,Medium
Ministry of Health,Medical Certificate Request,69,3.56,3.85,3.61,65.22,Medium
Ministry of Transport,Vehicle Registration,40,3.54,3.66,3.49,62.5,Medium
Ministry of Education,School Enrollment,44,3.42,3.74,3.47,56.82,Medium
