year_num,month_num,month_name,quarter_name,total_requests,sla_compliance_pct,avg_satisfaction,avg_resolution_hours
2024,1,January,Q1,41,82.93,3.84,74.09
2024,2,February,Q1,42,76.19,3.89,64.64
2024,3,March,Q1,56,87.5,4.07,50.42
2024,4,April,Q2,47,68.09,3.56,59.25
2024,5,May,Q2,56,76.79,3.55,54.03
2024,6,June,Q2,41,70.73,3.89,63.55
2024,7,July,Q3,52,65.38,3.48,84.59
2024,8,August,Q3,54,79.63,3.76,59.45
2024,9,September,Q3,53,83.02,4.1,43.95
2024,10,October,Q4,57,80.7,3.82,59.19
2024,11,November,Q4,47,72.34,3.61,49.33
2024,12,December,Q4,61,72.13,3.74,84.08
2025,1,January,Q1,38,84.21,4.02,78.47
2025,2,February,Q1,36,63.89,3.46,71.05
2025,3,March,Q1,53,75.47,3.73,59.29
2025,4,April,Q2,53,83.02,3.98,39.48
2025,5,May,Q2,47,74.47,3.86,62.07
2025,6,June,Q2,63,80.95,3.95,56.34
2025,7,July,Q3,51,72.55,3.44,74.01
2025,8,August,Q3,57,64.91,3.55,52.33
2025,9,September,Q3,47,85.11,3.97,37.48
2025,10,October,Q4,53,75.47,3.85,60.54
2025,11,November,Q4,48,70.83,3.51,82.69
2025,12,December,Q4,47,74.47,3.82,62.34
